==3960== Profiling application: python maskrcnn_test.py
==3960== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
30.0105s     736ns                    -               -         -         -         -  2.0000KB  2.5915GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0105s  638.95us            (400 1 1)       (160 1 1)       168  13.500KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_1_kernel0 [474]
30.0112s  41.728us                    -               -         -         -         -  512.00KB  11.702GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0112s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0113s  942.99us            (400 1 1)       (200 1 1)        80  7.2500KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_8_kernel0 [488]
30.0123s  217.99us                    -               -         -         -         -  2.2500MB  10.080GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0125s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0125s  950.25us            (200 1 1)       (160 1 1)        64  2.6953KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_9_kernel0 [502]
30.0136s  191.30us                    -               -         -         -         -  2.0000MB  10.210GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0138s     928ns                    -               -         -         -         -  4.0000KB  4.1107GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0138s  1.1256ms            (800 1 1)        (25 1 1)       166  1.2734KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_2_kernel0 [516]
30.0150s  82.304us                    -               -         -         -         -  1.0000MB  11.865GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0151s     928ns                    -               -         -         -         -  4.0000KB  4.1107GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0151s  432.96us            (320 1 1)       (100 1 1)       168  8.8125KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_2_kernel0 [530]
30.0156s  82.593us                    -               -         -         -         -  1.0000MB  11.824GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0157s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0157s  404.65us            (250 1 1)        (64 1 1)        72  4.6250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_10_kernel0 [544]
30.0162s  215.91us                    -               -         -         -         -  2.2500MB  10.177GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0165s     992ns                    -               -         -         -         -  1.0000KB  984.44MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0165s  695.14us            (200 1 1)       (160 1 1)        64  5.3438KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_11_kernel0 [558]
30.0173s  82.529us                    -               -         -         -         -  1.0000MB  11.833GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0174s     928ns                    -               -         -         -         -  4.0000KB  4.1107GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0174s  430.12us            (320 1 1)       (100 1 1)       168  8.8125KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_2_kernel0 [571]
30.0179s  82.081us                    -               -         -         -         -  1.0000MB  11.898GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0180s     640ns                    -               -         -         -         -  1.0000KB  1.4901GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0180s  398.63us            (250 1 1)        (64 1 1)        72  4.6250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_10_kernel0 [584]
30.0185s  214.63us                    -               -         -         -         -  2.2500MB  10.238GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0187s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0187s  657.13us            (200 1 1)       (160 1 1)        64  5.3438KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_11_kernel0 [597]
30.0194s  92.641us                    -               -         -         -         -  1.0000MB  10.541GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0195s     928ns                    -               -         -         -         -  4.0000KB  4.1107GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0196s  426.15us            (320 1 1)       (100 1 1)       168  8.8125KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_2_kernel0 [610]
30.0201s  101.73us                    -               -         -         -         -  1.0000MB  9.5996GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0202s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0202s  400.07us            (250 1 1)        (64 1 1)        72  4.6250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_10_kernel0 [623]
30.0207s  215.33us                    -               -         -         -         -  2.2500MB  10.204GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0209s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0209s  655.43us            (200 1 1)       (160 1 1)        64  5.3438KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_11_kernel0 [636]
30.0216s  82.561us                    -               -         -         -         -  1.0000MB  11.828GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0217s     928ns                    -               -         -         -         -  4.0000KB  4.1107GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0218s  427.43us            (320 1 1)       (100 1 1)       168  8.8125KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_2_kernel0 [649]
30.0223s  82.145us                    -               -         -         -         -  1.0000MB  11.888GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0224s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
30.0224s  395.81us            (250 1 1)        (64 1 1)        72  4.6250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_10_kernel0 [662]
30.0228s  216.68us                    -               -         -         -         -  2.2500MB  10.141GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
