==6532== Profiling application: python maskrcnn_test.py
==6532== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
31.1750s  668.54us            (200 1 1)       (160 1 1)        64  3.8750KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_11_kernel0 [558]
31.1758s  82.816us                    -               -         -         -         -  1.0000MB  11.792GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1759s     928ns                    -               -         -         -         -  4.0000KB  4.1107GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1759s  424.13us            (320 1 1)       (100 1 1)       168  8.8125KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_2_kernel0 [571]
31.1764s  82.336us                    -               -         -         -         -  1.0000MB  11.861GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1765s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1765s  398.94us            (250 1 1)        (64 1 1)        72  4.6250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_10_kernel0 [584]
31.1770s  216.45us                    -               -         -         -         -  2.2500MB  10.152GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1772s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1772s  630.59us            (200 1 1)       (160 1 1)        64  3.8750KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_11_kernel0 [597]
31.1780s  82.655us                    -               -         -         -         -  1.0000MB  11.815GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1780s     928ns                    -               -         -         -         -  4.0000KB  4.1107GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1781s  424.96us            (320 1 1)       (100 1 1)       168  8.8125KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_2_kernel0 [610]
31.1786s  82.655us                    -               -         -         -         -  1.0000MB  11.815GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1787s     992ns                    -               -         -         -         -  1.0000KB  984.44MB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1787s  393.34us            (250 1 1)        (64 1 1)        72  4.6250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_10_kernel0 [623]
31.1791s  212.35us                    -               -         -         -         -  2.2500MB  10.347GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1794s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1794s  637.92us            (200 1 1)       (160 1 1)        64  3.8750KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_11_kernel0 [636]
31.1801s  82.335us                    -               -         -         -         -  1.0000MB  11.861GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1802s     928ns                    -               -         -         -         -  4.0000KB  4.1107GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1802s  431.26us            (320 1 1)       (100 1 1)       168  8.8125KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_2_kernel0 [649]
31.1807s  82.208us                    -               -         -         -         -  1.0000MB  11.879GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1808s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1808s  398.01us            (250 1 1)        (64 1 1)        72  4.6250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_10_kernel0 [662]
31.1813s  216.22us                    -               -         -         -         -  2.2500MB  10.162GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
31.1815s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
