#OpName                       	#InvokeCount	#Duration(us): Sum/Mean/Min/Max
fused_take_cast_expand_dims_take_cast_expand_dims_take_cast_expand_dims_concaten_10869151023261452404_	1         	1.788/1.788/1.788/1.788
shape_func_vision_roi_align_2 	1         	1.777/1.777/1.777/1.777
fused_squeeze_7               	2         	1.773/0.8865/0.474/1.299
fused_take_take_subtract      	1         	1.757/1.757/1.757/1.757
fused_take_multiply_add       	1         	1.718/1.718/1.718/1.718
shape_func_nn_dense_add_nn_relu_1	1         	1.665/1.665/1.665/1.665
shape_func_take_take_subtract_take_take_subtract_multiply_concatenate_sqrt_divid_8209301934478849404_	2         	1.656/0.828/0.691/0.965
shape_func_layout_transform   	1         	1.636/1.636/1.636/1.636
shape_func_concatenate        	1         	1.558/1.558/1.558/1.558
shape_func_reshape_2          	1         	1.498/1.498/1.498/1.498
fused_shape_of_6              	1         	1.489/1.489/1.489/1.489
shape_func_vision_non_max_suppression	2         	1.455/0.7275/0.644/0.811
shape_func_dyn_strided_slice_3	2         	1.444/0.722/0.714/0.73
shape_func_squeeze            	2         	1.398/0.699/0.645/0.753
shape_func_take_take_add_multiply_take_take_subtract_multiply_take_add_cast_cast_17625094857328918560_	1         	1.345/1.345/1.345/1.345
fused_shape_of_10             	1         	1.339/1.339/1.339/1.339
shape_func_layout_transform_1 	1         	1.3/1.3/1.3/1.3
shape_func_expand_dims        	2         	1.298/0.649/0.416/0.882
shape_func_nn_conv2d_transpose_add_nn_relu	1         	1.292/1.292/1.292/1.292
shape_func_equal              	2         	1.276/0.638/0.458/0.818
fused_shape_of_8              	1         	1.254/1.254/1.254/1.254
shape_func_layout_transform_2 	1         	1.23/1.23/1.23/1.23
shape_func_nn_dense_add_nn_relu	1         	1.205/1.205/1.205/1.205
shape_func_vision_get_valid_counts	2         	1.189/0.5945/0.584/0.605
shape_func_full_like_concatenate_concatenate_concatenate	2         	1.135/0.5675/0.485/0.65
shape_func_arange             	1         	1.106/1.106/1.106/1.106
shape_func_divide_expand_dims_multiply_expand_dims_add_divide_clip_exp_expand_di_15411288564710615775_	1         	1.098/1.098/1.098/1.098
shape_func_nn_dense_add_1     	1         	1.096/1.096/1.096/1.096
fused_take_add_cast_expand_dims	1         	1.073/1.073/1.073/1.073
shape_func_reshape_squeeze    	1         	1.062/1.062/1.062/1.062
shape_func_vision_roi_align_4 	1         	1.034/1.034/1.034/1.034
shape_func_vision_roi_align_6 	1         	0.933/0.933/0.933/0.933
shape_func_adv_index_split_squeeze_adv_index_expand_dims_expand_dims_add_concate_2747291303629872357_	1         	0.905/0.905/0.905/0.905
shape_func_cast               	2         	0.902/0.451/0.423/0.479
shape_func_vision_roi_align   	1         	0.899/0.899/0.899/0.899
shape_func_dyn_strided_slice_5	1         	0.881/0.881/0.881/0.881
shape_func_dyn_strided_slice_8	1         	0.87/0.87/0.87/0.87
shape_func_nn_dense_add       	1         	0.868/0.868/0.868/0.868
fused_shape_of_3              	2         	0.851/0.4255/0.408/0.443
shape_func_adv_index          	1         	0.847/0.847/0.847/0.847
shape_func_full_full_full_full_full_concatenate_reshape_cast_broadcast_to_like_a_13772391091393612541_	1         	0.824/0.824/0.824/0.824
