#OpName                       	#InvokeCount	#Duration(us): Sum/Mean/Min/Max
fused_arange_8                	1         	2.632/2.632/2.632/2.632
fused_scatter_2               	2         	2.61/1.305/0.879/1.731
shape_func_equal_3            	2         	2.538/1.269/0.81/1.728
fused_take_take_add_multiply_take_take_subtract_multiply_take_add_cast_cast_cast_16305282092913549647_	1         	2.42/2.42/2.42/2.42
shape_func_reshape            	1         	2.415/2.415/2.415/2.415
shape_func_cast               	2         	2.361/1.1805/1.099/1.262
shape_func_equal              	2         	2.354/1.177/0.542/1.812
shape_func_squeeze            	2         	2.346/1.173/0.676/1.67
fused_take_take_subtract_1    	1         	2.299/2.299/2.299/2.299
shape_func_layout_transform_2 	1         	2.181/2.181/2.181/2.181
fused_strided_slice_6         	1         	2.176/2.176/2.176/2.176
shape_func_equal_2            	2         	2.149/1.0745/0.724/1.425
fused_take_take_subtract_greater_equal_cast_take_take_subtract_greater_equal_cas_250104735588561676_	1         	2.11/2.11/2.11/2.11
shape_func_layout_transform_1 	1         	2.109/2.109/2.109/2.109
fused_strided_slice_adv_index 	1         	2.07/2.07/2.07/2.07
shape_func_argwhere           	1         	2.056/2.056/2.056/2.056
fused_take_multiply_add_1     	1         	2.031/2.031/2.031/2.031
shape_func_equal_1            	2         	1.977/0.9885/0.954/1.023
fused_take_multiply_add       	1         	1.972/1.972/1.972/1.972
fused_take_take_subtract      	1         	1.905/1.905/1.905/1.905
fused_concatenate_9           	1         	1.901/1.901/1.901/1.901
shape_func_reshape_repeat_repeat_repeat_1	4         	1.7/0.425/0.307/0.523
fused_split_squeeze_multiply_squeeze_multiply_squeeze_multiply_squeeze_multiply__1511904406113696076_	1         	1.666/1.666/1.666/1.666
shape_func_nn_dense_add_nn_relu_1	1         	1.638/1.638/1.638/1.638
shape_func_dyn_reshape_1      	1         	1.63/1.63/1.63/1.63
shape_func_nn_dense_add_nn_relu	1         	1.621/1.621/1.621/1.621
shape_func_expand_dims        	2         	1.604/0.802/0.399/1.205
fused_shape_of_7              	4         	1.6/0.4/0.19/0.683
shape_func_split_squeeze_cast 	3         	1.592/0.530667/0.494/0.591
shape_func_adv_index_2        	1         	1.588/1.588/1.588/1.588
shape_func_nn_conv2d_transpose_add_nn_relu	1         	1.553/1.553/1.553/1.553
shape_func_vision_non_max_suppression	2         	1.531/0.7655/0.661/0.87
shape_func_nn_softmax         	1         	1.523/1.523/1.523/1.523
shape_func_vision_roi_align_6 	1         	1.483/1.483/1.483/1.483
shape_func_take_multiply_add  	1         	1.481/1.481/1.481/1.481
fused_shape_of_10             	1         	1.455/1.455/1.455/1.455
shape_func_nn_contrib_conv2d_NCHWc_add	1         	1.446/1.446/1.446/1.446
shape_func_concatenate        	1         	1.424/1.424/1.424/1.424
shape_func_dyn_strided_slice_3	2         	1.409/0.7045/0.702/0.707
fused_shape_of_5              	2         	1.399/0.6995/0.378/1.021
shape_func_reshape_2          	1         	1.379/1.379/1.379/1.379
shape_func_take_take_subtract 	1         	1.323/1.323/1.323/1.323
shape_func_expand_dims_1      	2         	1.244/0.622/0.411/0.833
fused_shape_of_9              	1         	1.211/1.211/1.211/1.211
shape_func_take_take_subtract_take_take_subtract_multiply_concatenate_sqrt_divid_8209301934478849404_	2         	1.207/0.6035/0.557/0.65
shape_func_strided_slice_adv_index	1         	1.203/1.203/1.203/1.203
shape_func_full               	1         	1.2/1.2/1.2/1.2
shape_func_take_take_add_multiply_take_take_subtract_multiply_take_add_cast_cast_17625094857328918560_	1         	1.177/1.177/1.177/1.177
shape_func_subtract_add_expand_dims_expand_dims_add_concatenate_expand_dims	2         	1.167/0.5835/0.578/0.589
shape_func_dyn_full_1         	2         	1.133/0.5665/0.435/0.698
shape_func_divide_expand_dims_multiply_expand_dims_add_divide_clip_exp_expand_di_15411288564710615775_	1         	1.124/1.124/1.124/1.124
shape_func_full_like_concatenate_concatenate_concatenate	2         	1.062/0.531/0.516/0.546
shape_func_nn_dense_add_1     	1         	1.057/1.057/1.057/1.057
shape_func_dyn_strided_slice_5	1         	1.027/1.027/1.027/1.027
fused_squeeze_6               	2         	1.021/0.5105/0.402/0.619
fused_shape_of_11             	1         	0.995/0.995/0.995/0.995
shape_func_adv_index_split_squeeze_adv_index	1         	0.968/0.968/0.968/0.968
shape_func_arange_2           	1         	0.938/0.938/0.938/0.938
shape_func_full_full_full_full_full_concatenate_reshape_cast_broadcast_to_like_a_13772391091393612541_	1         	0.935/0.935/0.935/0.935
shape_func_reshape_squeeze    	1         	0.933/0.933/0.933/0.933
fused_ndarray_size_equal      	2         	0.905/0.4525/0.371/0.534
shape_func_vision_roi_align_2 	1         	0.875/0.875/0.875/0.875
shape_func_arange             	1         	0.869/0.869/0.869/0.869
shape_func_nn_dense_add       	1         	0.865/0.865/0.865/0.865
fused_take_add_cast_expand_dims	1         	0.847/0.847/0.847/0.847
shape_func_reshape_1          	1         	0.845/0.845/0.845/0.845
shape_func_dyn_strided_slice_9	1         	0.831/0.831/0.831/0.831
shape_func_reshape_adv_index_adv_index	1         	0.831/0.831/0.831/0.831
shape_func_layout_transform_3 	1         	0.812/0.812/0.812/0.812
fused_shape_of_3              	2         	0.77/0.385/0.346/0.424
shape_func_dyn_strided_slice_7	1         	0.747/0.747/0.747/0.747
shape_func_maximum_minimum_maximum_minimum_stack	1         	0.745/0.745/0.745/0.745
shape_func_layout_transform   	1         	0.738/0.738/0.738/0.738
shape_func_vision_roi_align_1 	1         	0.724/0.724/0.724/0.724
shape_func_arange_1           	1         	0.712/0.712/0.712/0.712
shape_func_vision_roi_align_5 	1         	0.711/0.711/0.711/0.711
fused_shape_of_6              	1         	0.709/0.709/0.709/0.709
shape_func_dyn_strided_slice_8	1         	0.707/0.707/0.707/0.707
shape_func_vision_roi_align_3 	1         	0.694/0.694/0.694/0.694
shape_func_adv_index_1        	2         	0.69/0.345/0.243/0.447
shape_func_dyn_reshape        	1         	0.689/0.689/0.689/0.689
shape_func_reshape_3          	1         	0.682/0.682/0.682/0.682
shape_func_vision_roi_align   	1         	0.677/0.677/0.677/0.677
shape_func_sigmoid_layout_transform_concatenate_adv_index	1         	0.672/0.672/0.672/0.672
shape_func_adv_index          	1         	0.655/0.655/0.655/0.655
shape_func_dyn_reshape_2      	1         	0.651/0.651/0.651/0.651
shape_func_vision_roi_align_4 	1         	0.635/0.635/0.635/0.635
shape_func_vision_roi_align_7 	1         	0.575/0.575/0.575/0.575
shape_func_take_multiply_add_1	1         	0.552/0.552/0.552/0.552
shape_func_cast_broadcast_to_like	1         	0.55/0.55/0.55/0.55
shape_func_nn_pad             	1         	0.546/0.546/0.546/0.546
shape_func_take_take_subtract_greater_equal_cast_take_take_subtract_greater_equa_8239353952889958563_	1         	0.538/0.538/0.538/0.538
shape_func_adv_index_adv_index	1         	0.529/0.529/0.529/0.529
shape_func_reshape_adv_index  	1         	0.481/0.481/0.481/0.481
shape_func_take_take_subtract_1	1         	0.473/0.473/0.473/0.473
shape_func_cast_add_multiply  	1         	0.462/0.462/0.462/0.462
shape_func_adv_index_3        	1         	0.46/0.46/0.46/0.46
fused_take_cast               	1         	0.456/0.456/0.456/0.456
shape_func_strided_slice      	1         	0.44/0.44/0.44/0.44
shape_func_greater            	1         	0.416/0.416/0.416/0.416
fused_shape_of_8              	1         	0.335/0.335/0.335/0.335
shape_func_split_squeeze_multiply_squeeze_multiply_squeeze_multiply_squeeze_mult_625062831022576575_	1         	0.31/0.31/0.31/0.31
fused_vision_roi_align_7      	1         	0.158/0.158/0.158/0.158
fused_full_2                  	1         	0.144/0.144/0.144/0.144

Total Duration: 2.20255e+06 us.	Total Packed Functions: 8364
