==245118== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version
File test_street_small.jpg exists, skip.
==245118== Profiling application: python maskrcnn_test.py
==245118== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
29.9525s  943.26us            (400 1 1)       (200 1 1)        80  7.2500KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_8_kernel0 [488]
29.9536s  219.93us                    -               -         -         -         -  2.2500MB  9.9906GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9538s     672ns                    -               -         -         -         -  1.0000KB  1.4192GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9538s  943.20us            (200 1 1)       (160 1 1)        64  2.6953KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_9_kernel0 [502]
29.9549s  193.50us                    -               -         -         -         -  2.0000MB  10.094GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9551s     928ns                    -               -         -         -         -  4.0000KB  4.1107GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9551s  1.1133ms            (800 1 1)        (25 1 1)       166  1.2734KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_2_kernel0 [516]
29.9563s  81.888us                    -               -         -         -         -  1.0000MB  11.926GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9564s     928ns                    -               -         -         -         -  4.0000KB  4.1107GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9564s  430.56us            (320 1 1)       (100 1 1)       168  8.8125KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_add_nn_relu_2_kernel0 [530]
29.9569s  82.559us                    -               -         -         -         -  1.0000MB  11.829GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9570s     640ns                    -               -         -         -         -  1.0000KB  1.4901GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9570s  399.61us            (250 1 1)        (64 1 1)        72  4.6250KB        0B         -           -           -           -  GeForce GTX 107         1         7  fused_nn_conv2d_add_nn_relu_10_kernel0 [544]
29.9575s  216.51us                    -               -         -         -         -  2.2500MB  10.149GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
29.9577s     640ns                    -               -         -         -         -  1.0000KB  1.4901GB/s    Pageable      Device  GeForce GTX 107         1         7  [CUDA memcpy HtoD]
